Wed Jun 17 08:34:38 AM EDT 2026
host=c1001a-s5.ufhpc
pwd=/blue/guralnick/share/r.dinnage/Projects/phenovision
[single] PREADAPT_ARGS supplied (REDESIGN single-run path).
[single] args: --condition mae --variant stable_evo --shared-tokenizer mae --seed 42 --num_epochs 15 --batch_size 768 --phase2_batch_size 384 --blr 0.0005 --weight_decay 0.05 --max_train_samples 214000 --sampler_delta 0.01 --sampler_min_step 5 --sampler_max_step 200 --backpressure-high 6 --backpressure-low 2 --demo_kappa 1 --demo_warmup 200 --val_every_n 100 --projection_dim 8192 --retention_latest_keep 2 --max_precond_dim 2048
============================================================
PhenoVision preadapt trainer (pretraining-as-preadaptation)
============================================================
  run_id           : mae__stable_evo__s42
  condition        : mae
  variant          : stable_evo
  shared-tokenizer : mae
  seed             : 42
  output_dir       : /blue/guralnick/share/r.dinnage/Projects/phenovision/xAI/py/../../xAI/output/preadapt/mae__stable_evo__s42
  epochs           : 15

Device: cuda:0
Loading data...
  [TEST MODE] Limited training to 214000 samples
  Training images: 214000
  Validation subset: 10000
  Representation subset: 1000
[preadapt_models] init_model(condition='mae', exact_control_tokenizer=False): 303,303,682 params (303,303,682 currently trainable, pre-freeze).
[preadapt_train] applied MAE shared input stage (patch_embed + pos_embed).

============================================================
PHASE 1: Frozen Backbone (Equalization = ecological fitting)
============================================================
  Trainable parameters (head only): 2,050
  Epoch 4 [0/278] loss=0.4548 lr=0.000851
  Epoch 4 [20/278] loss=0.4794 lr=0.000846
  Epoch 4 [40/278] loss=0.4691 lr=0.000841
  Epoch 4 [60/278] loss=0.4797 lr=0.000836
  Epoch 4 [80/278] loss=0.4627 lr=0.000830
  VAL step=1200 val_loss=0.4276 auc_roc_mean=0.8101 auc_pr_mean=0.6839
  Epoch 4 [100/278] loss=0.4655 lr=0.000825
  Epoch 4 [120/278] loss=0.4650 lr=0.000820
  Epoch 4 [140/278] loss=0.4646 lr=0.000814
  Epoch 4 [160/278] loss=0.4952 lr=0.000809
  Epoch 4 [180/278] loss=0.4667 lr=0.000803
  VAL step=1300 val_loss=0.4245 auc_roc_mean=0.8118 auc_pr_mean=0.6873
  Epoch 4 [200/278] loss=0.4905 lr=0.000797
  Epoch 4 [220/278] loss=0.4672 lr=0.000792
  Epoch 4 [240/278] loss=0.4767 lr=0.000786
  Epoch 4 [260/278] loss=0.4556 lr=0.000780

--- Phase 1, Epoch 5 ---
  Epoch 5 [0/278] loss=0.4899 lr=0.000775
  VAL step=1400 val_loss=0.4225 auc_roc_mean=0.8130 auc_pr_mean=0.6891
  Epoch 5 [20/278] loss=0.4843 lr=0.000769
  Epoch 5 [40/278] loss=0.4424 lr=0.000763
  Epoch 5 [60/278] loss=0.4837 lr=0.000757
  Epoch 5 [80/278] loss=0.4644 lr=0.000751
  Epoch 5 [100/278] loss=0.4705 lr=0.000745
  VAL step=1500 val_loss=0.4205 auc_roc_mean=0.8140 auc_pr_mean=0.6916
  Epoch 5 [120/278] loss=0.4712 lr=0.000739
  Epoch 5 [140/278] loss=0.4603 lr=0.000733
  Epoch 5 [160/278] loss=0.4473 lr=0.000727
  Epoch 5 [180/278] loss=0.4508 lr=0.000720
  Epoch 5 [200/278] loss=0.4817 lr=0.000714
  VAL step=1600 val_loss=0.4186 auc_roc_mean=0.8152 auc_pr_mean=0.6936
  Epoch 5 [220/278] loss=0.4647 lr=0.000708
  Epoch 5 [240/278] loss=0.4737 lr=0.000701
  Epoch 5 [260/278] loss=0.4723 lr=0.000695

--- Phase 1, Epoch 6 ---
  Epoch 6 [0/278] loss=0.4995 lr=0.000689
  Epoch 6 [20/278] loss=0.4590 lr=0.000683
  VAL step=1700 val_loss=0.4171 auc_roc_mean=0.8163 auc_pr_mean=0.6957
  Epoch 6 [40/278] loss=0.4736 lr=0.000676
  Epoch 6 [60/278] loss=0.4191 lr=0.000670
  Epoch 6 [80/278] loss=0.4848 lr=0.000663
  Epoch 6 [100/278] loss=0.4774 lr=0.000656
  Epoch 6 [120/278] loss=0.4809 lr=0.000650
  VAL step=1800 val_loss=0.4160 auc_roc_mean=0.8171 auc_pr_mean=0.6962
  Plateau (1/2) auc_roc improvement=0.0019
  Epoch 6 [140/278] loss=0.4711 lr=0.000643
  Epoch 6 [160/278] loss=0.4575 lr=0.000637
  Epoch 6 [180/278] loss=0.4826 lr=0.000630
  Epoch 6 [200/278] loss=0.4702 lr=0.000623
  Epoch 6 [220/278] loss=0.4328 lr=0.000617
  VAL step=1900 val_loss=0.4153 auc_roc_mean=0.8179 auc_pr_mean=0.6983
  Plateau (2/2) auc_roc improvement=0.0016

*** Phase 1 converged at epoch 6, step 1900 ***

PHASE_TRANSITION: step=1900 epoch=6 val_loss=0.4153 auc_roc_mean=0.8179 auc_pr_mean=0.6983 (ECOLOGICAL_FITTING: auc_pr=0.6983, val_loss=0.4153)

============================================================
PHASE 2: Evolution  (variant=stable_evo)
============================================================
[preadapt_models] freeze_input_stage: froze 3 input-stage tensors.
  Phase-2 uniform lr=0.00075  eff_batch=384  variant=stable_evo

--- Phase 2, Epoch 7 (P2 epoch 0) ---
  [0/557] loss=0.4328 upd_norm=0.7321 disp=0.0000 sampler=0.0000 lr=0.000678
  EMIT ckpt step=1908 reason=displacement on_ladder=True -> step00001908.pt
  EMIT ckpt step=1916 reason=displacement on_ladder=True -> step00001916.pt
  [20/557] loss=0.4072 upd_norm=0.8321 disp=0.5800 sampler=0.0063 lr=0.000676
  EMIT ckpt step=1925 reason=displacement on_ladder=True -> step00001925.pt
  EMIT ckpt step=1934 reason=displacement on_ladder=True -> step00001934.pt
  [40/557] loss=0.4424 upd_norm=1.4229 disp=1.1293 sampler=0.0082 lr=0.000673
  EMIT ckpt step=1943 reason=displacement on_ladder=True -> step00001943.pt
  EMIT ckpt step=1952 reason=displacement on_ladder=True -> step00001952.pt
  EMIT ckpt step=1961 reason=displacement on_ladder=True -> step00001961.pt
  [60/557] loss=0.4168 upd_norm=1.1540 disp=1.6715 sampler=0.0101 lr=0.000671
  EMIT ckpt step=1971 reason=displacement on_ladder=True -> step00001971.pt
  EMIT ckpt step=1981 reason=displacement on_ladder=True -> step00001981.pt
  [80/557] loss=0.4342 upd_norm=1.0054 disp=2.2047 sampler=0.0110 lr=0.000668
  EMIT ckpt step=1990 reason=displacement on_ladder=True -> step00001990.pt
  EMIT ckpt step=2000 reason=displacement on_ladder=True -> step00002000.pt
  VAL step=2000 (p2=100) val_loss=0.3347 auc_pr_mean=0.7676
  [100/557] loss=0.3993 upd_norm=1.0086 disp=2.7316 sampler=0.0012 lr=0.000666
  EMIT ckpt step=2010 reason=displacement on_ladder=True -> step00002010.pt
  EMIT ckpt step=2020 reason=displacement on_ladder=True -> step00002020.pt
  [120/557] loss=0.3885 upd_norm=2.0985 disp=3.2553 sampler=0.0011 lr=0.000663
  EMIT ckpt step=2030 reason=displacement on_ladder=True -> step00002030.pt
  EMIT ckpt step=2040 reason=displacement on_ladder=True -> step00002040.pt
  [140/557] loss=0.4068 upd_norm=0.8860 disp=3.7722 sampler=0.0011 lr=0.000660
  EMIT ckpt step=2050 reason=displacement on_ladder=True -> step00002050.pt
  EMIT ckpt step=2060 reason=displacement on_ladder=True -> step00002060.pt
  [160/557] loss=0.4277 upd_norm=2.3315 disp=4.2792 sampler=0.0011 lr=0.000657
  EMIT ckpt step=2070 reason=displacement on_ladder=True -> step00002070.pt
  EMIT ckpt step=2080 reason=displacement on_ladder=True -> step00002080.pt
  [180/557] loss=0.3951 upd_norm=0.8138 disp=4.7885 sampler=0.0011 lr=0.000655
  EMIT ckpt step=2090 reason=displacement on_ladder=True -> step00002090.pt
  EMIT ckpt step=2100 reason=displacement on_ladder=True -> step00002100.pt
  VAL step=2100 (p2=200) val_loss=0.2976 auc_pr_mean=0.8104
  [200/557] loss=0.4043 upd_norm=1.1223 disp=5.2952 sampler=0.0011 lr=0.000652
  EMIT ckpt step=2110 reason=displacement on_ladder=True -> step00002110.pt
  EMIT ckpt step=2120 reason=displacement on_ladder=True -> step00002120.pt
  [220/557] loss=0.3613 upd_norm=1.4836 disp=5.7974 sampler=0.0013 lr=0.000649
  EMIT ckpt step=2130 reason=displacement on_ladder=True -> step00002130.pt
  EMIT ckpt step=2140 reason=displacement on_ladder=True -> step00002140.pt
  [240/557] loss=0.3849 upd_norm=1.1075 disp=6.2952 sampler=0.0013 lr=0.000646
  EMIT ckpt step=2150 reason=displacement on_ladder=True -> step00002150.pt
  EMIT ckpt step=2160 reason=displacement on_ladder=True -> step00002160.pt
  [260/557] loss=0.3780 upd_norm=1.3385 disp=6.7899 sampler=0.0013 lr=0.000643
  EMIT ckpt step=2170 reason=displacement on_ladder=True -> step00002170.pt
  EMIT ckpt step=2180 reason=displacement on_ladder=True -> step00002180.pt
  [280/557] loss=0.3349 upd_norm=0.7229 disp=7.2825 sampler=0.0013 lr=0.000640
  EMIT ckpt step=2190 reason=displacement on_ladder=True -> step00002190.pt
  EMIT ckpt step=2200 reason=displacement on_ladder=True -> step00002200.pt
  VAL step=2200 (p2=300) val_loss=0.2820 auc_pr_mean=0.8284
  [300/557] loss=0.3661 upd_norm=0.9030 disp=7.7741 sampler=0.0014 lr=0.000637
  EMIT ckpt step=2210 reason=displacement on_ladder=True -> step00002210.pt
  EMIT ckpt step=2220 reason=displacement on_ladder=True -> step00002220.pt
  [320/557] loss=0.3928 upd_norm=1.3535 disp=8.2615 sampler=0.0013 lr=0.000634
  EMIT ckpt step=2230 reason=displacement on_ladder=True -> step00002230.pt
  EMIT ckpt step=2240 reason=displacement on_ladder=True -> step00002240.pt
  [340/557] loss=0.3406 upd_norm=1.0197 disp=8.7451 sampler=0.0013 lr=0.000631
  EMIT ckpt step=2250 reason=displacement on_ladder=True -> step00002250.pt
  EMIT ckpt step=2260 reason=displacement on_ladder=True -> step00002260.pt
  [360/557] loss=0.3314 upd_norm=1.4296 disp=9.2262 sampler=0.0013 lr=0.000628
  EMIT ckpt step=2270 reason=displacement on_ladder=True -> step00002270.pt
  EMIT ckpt step=2280 reason=displacement on_ladder=True -> step00002280.pt
  [380/557] loss=0.3675 upd_norm=1.5722 disp=9.7058 sampler=0.0013 lr=0.000625
  EMIT ckpt step=2290 reason=displacement on_ladder=True -> step00002290.pt
  EMIT ckpt step=2300 reason=displacement on_ladder=True -> step00002300.pt
  VAL step=2300 (p2=400) val_loss=0.2740 auc_pr_mean=0.8374
  [400/557] loss=0.3512 upd_norm=1.2687 disp=10.1817 sampler=0.0013 lr=0.000622
  EMIT ckpt step=2310 reason=displacement on_ladder=True -> step00002310.pt
  EMIT ckpt step=2320 reason=displacement on_ladder=True -> step00002320.pt
  [420/557] loss=0.3692 upd_norm=1.6658 disp=10.6555 sampler=0.0013 lr=0.000618
  EMIT ckpt step=2330 reason=displacement on_ladder=True -> step00002330.pt
  EMIT ckpt step=2340 reason=displacement on_ladder=True -> step00002340.pt
  [440/557] loss=0.3316 upd_norm=0.9918 disp=11.1267 sampler=0.0013 lr=0.000615
  EMIT ckpt step=2350 reason=displacement on_ladder=True -> step00002350.pt
  EMIT ckpt step=2360 reason=displacement on_ladder=True -> step00002360.pt
  [460/557] loss=0.2711 upd_norm=1.1106 disp=11.5933 sampler=0.0013 lr=0.000612
  EMIT ckpt step=2370 reason=displacement on_ladder=True -> step00002370.pt
  EMIT ckpt step=2380 reason=displacement on_ladder=True -> step00002380.pt
  [480/557] loss=0.3502 upd_norm=1.5414 disp=12.0573 sampler=0.0013 lr=0.000609
  EMIT ckpt step=2390 reason=displacement on_ladder=True -> step00002390.pt
  VAL step=2400 (p2=500) val_loss=0.2732 auc_pr_mean=0.8444
  EMIT ckpt step=2401 reason=displacement on_ladder=True -> step00002401.pt
  [500/557] loss=0.3745 upd_norm=2.2306 disp=12.5189 sampler=0.0108 lr=0.000605
  EMIT ckpt step=2411 reason=displacement on_ladder=True -> step00002411.pt
  EMIT ckpt step=2421 reason=displacement on_ladder=True -> step00002421.pt
  [520/557] loss=0.3818 upd_norm=1.8899 disp=12.9776 sampler=0.0101 lr=0.000602
  EMIT ckpt step=2431 reason=displacement on_ladder=True -> step00002431.pt
  EMIT ckpt step=2441 reason=displacement on_ladder=True -> step00002441.pt
  [540/557] loss=0.3444 upd_norm=0.9109 disp=13.4320 sampler=0.0102 lr=0.000599
  EMIT ckpt step=2451 reason=displacement on_ladder=True -> step00002451.pt
  EMIT ckpt step=2457 reason=epoch_end on_ladder=True -> step00002457.pt

--- Phase 2, Epoch 8 (P2 epoch 1) ---
  [0/557] loss=0.3369 upd_norm=1.0647 disp=13.8176 sampler=0.0014 lr=0.000596
  EMIT ckpt step=2467 reason=displacement on_ladder=True -> step00002467.pt
  EMIT ckpt step=2477 reason=displacement on_ladder=True -> step00002477.pt
  [20/557] loss=0.3219 upd_norm=1.5901 disp=14.2687 sampler=0.0013 lr=0.000592
  EMIT ckpt step=2488 reason=displacement on_ladder=True -> step00002488.pt
  [40/557] loss=0.3350 upd_norm=1.1871 disp=14.7161 sampler=0.0097 lr=0.000589
  EMIT ckpt step=2499 reason=displacement on_ladder=True -> step00002499.pt
  VAL step=2500 (p2=600) val_loss=0.2662 auc_pr_mean=0.8482
  EMIT ckpt step=2510 reason=displacement on_ladder=True -> step00002510.pt
  [60/557] loss=0.3201 upd_norm=1.2122 disp=15.1615 sampler=0.0079 lr=0.000585
  EMIT ckpt step=2521 reason=displacement on_ladder=True -> step00002521.pt
  EMIT ckpt step=2532 reason=displacement on_ladder=True -> step00002532.pt
  [80/557] loss=0.3460 upd_norm=2.0736 disp=15.6042 sampler=0.0061 lr=0.000582
  EMIT ckpt step=2543 reason=displacement on_ladder=True -> step00002543.pt
  EMIT ckpt step=2554 reason=displacement on_ladder=True -> step00002554.pt
  [100/557] loss=0.3194 upd_norm=1.0730 disp=16.0434 sampler=0.0042 lr=0.000578
  EMIT ckpt step=2565 reason=displacement on_ladder=True -> step00002565.pt
  EMIT ckpt step=2576 reason=displacement on_ladder=True -> step00002576.pt
  [120/557] loss=0.3427 upd_norm=1.1438 disp=16.4787 sampler=0.0022 lr=0.000575
  EMIT ckpt step=2587 reason=displacement on_ladder=True -> step00002587.pt
  EMIT ckpt step=2598 reason=displacement on_ladder=True -> step00002598.pt
  [140/557] loss=0.3228 upd_norm=1.4666 disp=16.9113 sampler=0.0103 lr=0.000571
  VAL step=2600 (p2=700) val_loss=0.2634 auc_pr_mean=0.8511
  EMIT ckpt step=2609 reason=displacement on_ladder=True -> step00002609.pt
  [160/557] loss=0.3085 upd_norm=1.1235 disp=17.3413 sampler=0.0086 lr=0.000567
  EMIT ckpt step=2620 reason=displacement on_ladder=True -> step00002620.pt
  EMIT ckpt step=2631 reason=displacement on_ladder=True -> step00002631.pt
  [180/557] loss=0.3626 upd_norm=1.3258 disp=17.7682 sampler=0.0067 lr=0.000564
  EMIT ckpt step=2642 reason=displacement on_ladder=True -> step00002642.pt
  EMIT ckpt step=2653 reason=displacement on_ladder=True -> step00002653.pt
  [200/557] loss=0.3664 upd_norm=1.4055 disp=18.1910 sampler=0.0050 lr=0.000560
  EMIT ckpt step=2664 reason=displacement on_ladder=True -> step00002664.pt
  EMIT ckpt step=2675 reason=displacement on_ladder=True -> step00002675.pt
  [220/557] loss=0.3532 upd_norm=1.1004 disp=18.6121 sampler=0.0032 lr=0.000556
  EMIT ckpt step=2686 reason=displacement on_ladder=True -> step00002686.pt
  EMIT ckpt step=2697 reason=displacement on_ladder=True -> step00002697.pt
  [240/557] loss=0.3285 upd_norm=1.2319 disp=19.0294 sampler=0.0012 lr=0.000553
  VAL step=2700 (p2=800) val_loss=0.2564 auc_pr_mean=0.8564
  EMIT ckpt step=2708 reason=displacement on_ladder=True -> step00002708.pt
  [260/557] loss=0.3496 upd_norm=1.5405 disp=19.4444 sampler=0.0091 lr=0.000549
  EMIT ckpt step=2720 reason=displacement on_ladder=True -> step00002720.pt
  EMIT ckpt step=2731 reason=displacement on_ladder=True -> step00002731.pt
  [280/557] loss=0.3601 upd_norm=1.6269 disp=19.8563 sampler=0.0066 lr=0.000545
  EMIT ckpt step=2742 reason=displacement on_ladder=True -> step00002742.pt
  EMIT ckpt step=2754 reason=displacement on_ladder=True -> step00002754.pt
  [300/557] loss=0.3698 upd_norm=2.5380 disp=20.2651 sampler=0.0040 lr=0.000541
  EMIT ckpt step=2766 reason=displacement on_ladder=True -> step00002766.pt
  EMIT ckpt step=2778 reason=displacement on_ladder=True -> step00002778.pt
  [320/557] loss=0.3688 upd_norm=1.5796 disp=20.6700 sampler=0.0108 lr=0.000538
  EMIT ckpt step=2790 reason=displacement on_ladder=True -> step00002790.pt
  [340/557] loss=0.2923 upd_norm=0.8844 disp=21.0725 sampler=0.0073 lr=0.000534
  VAL step=2800 (p2=900) val_loss=0.2506 auc_pr_mean=0.8584
  EMIT ckpt step=2802 reason=displacement on_ladder=True -> step00002802.pt
  EMIT ckpt step=2814 reason=displacement on_ladder=True -> step00002814.pt
  [360/557] loss=0.3489 upd_norm=1.7881 disp=21.4719 sampler=0.0038 lr=0.000530
  EMIT ckpt step=2826 reason=displacement on_ladder=True -> step00002826.pt
  EMIT ckpt step=2838 reason=displacement on_ladder=True -> step00002838.pt
  [380/557] loss=0.3258 upd_norm=1.2412 disp=21.8678 sampler=0.0106 lr=0.000526
  EMIT ckpt step=2850 reason=displacement on_ladder=True -> step00002850.pt
  [400/557] loss=0.3407 upd_norm=1.0811 disp=22.2605 sampler=0.0072 lr=0.000522
  EMIT ckpt step=2862 reason=displacement on_ladder=True -> step00002862.pt
  EMIT ckpt step=2874 reason=displacement on_ladder=True -> step00002874.pt
  [420/557] loss=0.3027 upd_norm=1.5095 disp=22.6505 sampler=0.0039 lr=0.000518
  EMIT ckpt step=2886 reason=displacement on_ladder=True -> step00002886.pt
  EMIT ckpt step=2898 reason=displacement on_ladder=True -> step00002898.pt
  [440/557] loss=0.3085 upd_norm=1.0993 disp=23.0369 sampler=0.0101 lr=0.000514
  VAL step=2900 (p2=1000) val_loss=0.2501 auc_pr_mean=0.8598
  EMIT ckpt step=2910 reason=displacement on_ladder=True -> step00002910.pt
  [460/557] loss=0.3340 upd_norm=1.2277 disp=23.4206 sampler=0.0068 lr=0.000511
  EMIT ckpt step=2923 reason=displacement on_ladder=True -> step00002923.pt
  EMIT ckpt step=2936 reason=displacement on_ladder=True -> step00002936.pt
  [480/557] loss=0.3086 upd_norm=1.5423 disp=23.8014 sampler=0.0020 lr=0.000507
  EMIT ckpt step=2949 reason=displacement on_ladder=True -> step00002949.pt
  [500/557] loss=0.3303 upd_norm=1.2760 disp=24.1789 sampler=0.0076 lr=0.000503
  EMIT ckpt step=2962 reason=displacement on_ladder=True -> step00002962.pt
  EMIT ckpt step=2974 reason=displacement on_ladder=True -> step00002974.pt
  [520/557] loss=0.3191 upd_norm=0.9108 disp=24.5533 sampler=0.0037 lr=0.000499
  EMIT ckpt step=2986 reason=displacement on_ladder=True -> step00002986.pt
  [540/557] loss=0.2966 upd_norm=1.0931 disp=24.9245 sampler=0.0099 lr=0.000495
  EMIT ckpt step=2999 reason=displacement on_ladder=True -> step00002999.pt
  VAL step=3000 (p2=1100) val_loss=0.2495 auc_pr_mean=0.8622
  EMIT ckpt step=3012 reason=displacement on_ladder=True -> step00003012.pt
  EMIT ckpt step=3014 reason=epoch_end on_ladder=True -> step00003014.pt

--- Phase 2, Epoch 9 (P2 epoch 2) ---
  [0/557] loss=0.3131 upd_norm=1.3216 disp=25.2376 sampler=0.0011 lr=0.000491
  EMIT ckpt step=3027 reason=displacement on_ladder=True -> step00003027.pt
  [20/557] loss=0.3505 upd_norm=3.3912 disp=25.6024 sampler=0.0067 lr=0.000487
  EMIT ckpt step=3040 reason=displacement on_ladder=True -> step00003040.pt
  EMIT ckpt step=3053 reason=displacement on_ladder=True -> step00003053.pt
  [40/557] loss=0.2468 upd_norm=0.9914 disp=25.9643 sampler=0.0018 lr=0.000483
  EMIT ckpt step=3067 reason=displacement on_ladder=True -> step00003067.pt
  [60/557] loss=0.3026 upd_norm=1.2468 disp=26.3230 sampler=0.0066 lr=0.000479
  EMIT ckpt step=3080 reason=displacement on_ladder=True -> step00003080.pt
  EMIT ckpt step=3093 reason=displacement on_ladder=True -> step00003093.pt
  [80/557] loss=0.3206 upd_norm=1.0197 disp=26.6784 sampler=0.0018 lr=0.000475
  VAL step=3100 (p2=1200) val_loss=0.2486 auc_pr_mean=0.8637
  EMIT ckpt step=3106 reason=displacement on_ladder=True -> step00003106.pt
  [100/557] loss=0.3015 upd_norm=0.9344 disp=27.0311 sampler=0.0073 lr=0.000471
  EMIT ckpt step=3119 reason=displacement on_ladder=True -> step00003119.pt
  EMIT ckpt step=3132 reason=displacement on_ladder=True -> step00003132.pt
  [120/557] loss=0.3365 upd_norm=1.0573 disp=27.3804 sampler=0.0027 lr=0.000467
  EMIT ckpt step=3145 reason=displacement on_ladder=True -> step00003145.pt
  [140/557] loss=0.3320 upd_norm=1.1633 disp=27.7266 sampler=0.0078 lr=0.000463
  EMIT ckpt step=3159 reason=displacement on_ladder=True -> step00003159.pt
  EMIT ckpt step=3173 reason=displacement on_ladder=True -> step00003173.pt
  [160/557] loss=0.3133 upd_norm=1.7750 disp=28.0695 sampler=0.0018 lr=0.000459
  EMIT ckpt step=3187 reason=displacement on_ladder=True -> step00003187.pt
  [180/557] loss=0.2924 upd_norm=1.7790 disp=28.4092 sampler=0.0063 lr=0.000455
  VAL step=3200 (p2=1300) val_loss=0.2447 auc_pr_mean=0.8655
  EMIT ckpt step=3201 reason=displacement on_ladder=True -> step00003201.pt
  EMIT ckpt step=3215 reason=displacement on_ladder=True -> step00003215.pt
  [200/557] loss=0.2943 upd_norm=0.9767 disp=28.7452 sampler=0.0105 lr=0.000450
  EMIT ckpt step=3229 reason=displacement on_ladder=True -> step00003229.pt
  [220/557] loss=0.2945 upd_norm=1.0851 disp=29.0783 sampler=0.0048 lr=0.000446
